image_path,true_label,true_label_name,predicted_label,predicted_label_name,confidence,stage_distance,error_type,note
d:\Computer Vision CW\data\train/0/10981_left-600.jpg,0,No DR,4,Proliferative DR,0.8731,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/c21eb81de9fc-600.jpg,0,No DR,4,Proliferative DR,0.8594,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/39904_right-600-HB.jpg,4,Proliferative DR,0,No DR,0.8591,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/12024_right-600.jpg,0,No DR,4,Proliferative DR,0.7968,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/37973_left-600-FA.jpg,4,Proliferative DR,0,No DR,0.7764,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/c3d12a23f451-600-FA.jpg,4,Proliferative DR,0,No DR,0.72,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/21713_right-600.jpg,0,No DR,4,Proliferative DR,0.7163,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/29262_left-600.jpg,0,No DR,4,Proliferative DR,0.7128,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/24772_left-600-FS.jpg,4,Proliferative DR,0,No DR,0.6924,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/5077_right-600-FA.jpg,4,Proliferative DR,0,No DR,0.6495,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/40510_left-600.jpg,0,No DR,4,Proliferative DR,0.5835,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/33570_right-600.jpg,0,No DR,4,Proliferative DR,0.551,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/16309_left-600-FS.jpg,4,Proliferative DR,0,No DR,0.5157,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/9181_right-600.jpg,0,No DR,4,Proliferative DR,0.5134,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/43577_right-600.jpg,0,No DR,4,Proliferative DR,0.4902,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/4/34934_left-600-ALL.jpg,4,Proliferative DR,0,No DR,0.4824,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/10355_right-600.jpg,0,No DR,4,Proliferative DR,0.4699,4,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/4869_right-600-HB.jpg,1,Mild NPDR,4,Proliferative DR,0.8749,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
